NAME,CODE,TYPE,EXTENT,DATA SOURCE,REMARKS,REVISION DATE
Abidjan 1987,4143,geographic 2D,Cote d'Ivoire (Ivory Coast),EPSG,Replaces Locodjo 1965 (EPSG code 4142).,"December 15, 2016"
Abidjan 1987 / TM 5 NW,2165,projected,Cote d'Ivoire (Ivory Coast) - offshore,EPSG,,"June 5, 2001"
Abidjan 1987 / UTM zone 29N,2043,projected,Cote d'Ivoire (Ivory Coast) - west of 6°W,EPSG,Replaces Locodjo 65 / UTM 29N (EPSG code 2042).,"March 7, 2000"
Abidjan 1987 / UTM zone 30N,2041,projected,Cote d'Ivoire (Ivory Coast) - east of 6°W,EPSG,Replaces Locodjo 65 / UTM 30N (EPSG code 2040).,"March 7, 2000"
AbInvA96_2020 Grid,9387,projected,UK - Aberdeen to Inverness,EPSG,The CRS's definition through transformation ETRS89 to AbInvA96_2020-IRF (1) (code 9386) and map projection AbInvA96_2020-TM (code 9385) emulates the AbInvA96_2020 Snake projection applied to ETRS89 as realized through OSNet 2009 CORS.,"January 12, 2023"
AbInvA96_2020 Grid + ODN height,9388,compound,UK - Aberdeen to Inverness,EPSG,,"June 16, 2020"
AbInvA96_2020-IRF,9384,geographic 2D,UK - Aberdeen to Inverness,EPSG,Intermediate CRS created in 2020 to assist the emulation of the ETRS89 / AbInvA96_2020 SnakeGrid projected CRS through transformation ETRS89 to AbInvA96_2020-IRF (1) (code 9386) used in conjunction with the AbInvA96_2020-TM map projection (code 9385).,"June 16, 2020"
Accra,4168,geographic 2D,Ghana,EPSG,Ellipsoid semi-major axis (a)=20926201 exactly Gold Coast feet. Replaced by Leigon (code 4250) in 1978.,"November 19, 2023"
Accra / Ghana National Grid,2136,projected,Ghana - onshore,EPSG,Ellipsoid semi-major axis (a)=20926201 Gold Coast feet. ProjCRS sometimes found in metric form: 1 Gold Coast foot = 0.3047997101815 m. Replaced by Leigon / Ghana Metric Grid from 1978.,"November 19, 2023"
Accra / TM 1 NW,2137,projected,Ghana - offshore,EPSG,,"October 19, 2000"
Aden 1925,6881,geographic 2D,Yemen - South Yemen - mainland,EPSG,,"July 30, 2014"
Adindan,4201,geographic 2D,"Africa - Eritrea, Ethiopia, South Sudan and Sudan",EPSG,"The 12th parallel traverse of 1966-70 (geogCRS Point 58, code 4620) is connected to the Blue Nile 1958 network in western Sudan. This has given rise to misconceptions that the Blue Nile 1958 network is used in west Africa.","March 16, 2025"
Adindan / UTM zone 35N,20135,projected,Africa - South Sudan and Sudan - 24°E to 30°E,EPSG,,"November 29, 2022"
Adindan / UTM zone 36N,20136,projected,Africa - Ethiopia and Sudan - 30°E to 36°E,EPSG,,"November 29, 2022"
